Rule	Period	dx	dy	dz	Iterations
RLRLLULLL	68142	58	58	58	9080266
LLLDDLDULL	67308	22	22	22	10485642
LRDLDDLULL	67260	32	0	0	118205089
LRLUULUUUL	67130	50	50	0	6931059
DUDUUULUL	67048	48	0	0	10273795
UUULURLLLL	65566	20	20	0	118088251
RLRUURDRUL	65274	41	41	0	26769906
DUDUUURURL	65212	32	0	0	8664519
LDLUDLDULL	64548	28	0	0	11059615
LRLLDDDULL	64092	68	0	0	5958385
DURDRDRURL	64076	28	0	0	11399823
RRLRRDDULL	63848	58	0	0	5026308
URRUUUURLL	63740	28	13	9	7727372
UDULLLUULL	62082	26	26	26	8384130
LDLLULLLLL	61820	124	0	0	3920535
UUURUUUUUL	61682	21	21	0	9216305
LULLDUUUUL	61122	46	46	0	5907137
RLRDDURRL	61086	30	30	30	7241261
LLRLDRLLUL	60876	60	0	0	4832866
DLDDDULLLL	60066	24	24	24	15515645
LLULDLUUUL	60060	14	14	14	39980342
LULULLRULL	59904	46	46	46	10722809
LDUDLDUL	59668	84	0	0	6173893
DUDLLULLL	59640	48	48	48	14411487
UUDULLULUL	59556	108	0	0	3823583
LULDLUULUL	59516	88	0	0	4115273
RUUURUUUL	59506	16	16	0	22517139
ULLLUDLULL	58176	40	0	0	5892502
UDULLUUL	58128	12	12	12	23911076
LULDLDLLUL	57828	56	0	0	21330269
UDLLRLLRUL	57810	46	46	0	8685663
RLRLLULLLL	57672	40	40	40	26760824
DUDRRDUL	57630	44	44	44	9639625
LLRLUDDRUL	57342	14	14	14	11676916
RRRLRRUDUL	57174	30	30	30	129653229
UDRUUDURLL	56972	62	0	0	4636951
LRLRRULUUL	56892	172	0	0	3414810
URRLUULUUL	56674	27	27	0	16578776
LRLLRLULLL	56586	45	45	0	10560519
URULUUUL	55014	35	35	0	45679442
URUUUUURLL	54852	44	0	0	100925492
LLUDULUL	54732	38	38	38	9327686
LDDLDLDUL	54650	21	21	0	17001067
ULURUURURL	54620	84	0	0	4029811
RLDUULLDUL	54316	136	0	0	3457169
LDLDDLUL	54270	34	34	0	9967169
LLDULULLUL	54208	46	0	0	5894248
UDLULLRULL	54058	53	53	0	48478633
LUDUULLLRL	53836	64	0	0	4461699
LDLUL	53290	44	44	0	28673141
RLRUUUDDUL	52334	46	46	0	5072271
ULUUUUURLL	52246	27	18	9	7538461
